Original Text,Replacement Text,Phonemes,Languages,Voice IDs,Active,Ignore Case,App Bundle IDs
"Abbott se začal scházet se sestrami z charitativní organizace Macmillan a jedna mu poradila, aby kontaktoval právníka.",Abbott began to meet the sisters from the charity Macmillan and one told him to contact a lawyer.,"Suddenly Abbott was plunged into meetings with Macmillan nurses, one of whom suggested that he should get in touch with a lawyer.",0.1094235746858033,,TRUE,FALSE,
"Poté, co se mu dostalo uznání od kritiky za jeho Othella, ponořil se do divadla.","After he received recognition from critics for his Othello, he plunged into the theater.","Since he won critical acclaim for his Othello, he has become engrossed in the theatre.",0.3948386011870167,,TRUE,FALSE,
"Ke konci vystoupení se přesune do prostoru mezi křídly letounu, kde její show pokračuje,"" popsal Luděk Matějíček z chebského Ultralight Clubu a organizátor leteckého dne.","At the end of speeches will move into the space between the wings of the airplane, where her show goes on, ""described by Luděk Matějíček from Cheb Ultralight Club, and the organizer of Airshow.","Near the end of the performance, she moves to the space between the aircraft's wings, where her show continues,"" explained Luděk Matějíček from the Cheb Ultralight Club, the organizer of Aviation Day.",0.6802536276882301,,TRUE,FALSE,
"""Ich verstehe absolut, worauf Sie hinaus wollen,"" antwortete Esme Nussbaum mit ruhiger Stimme, als sie sicher war, dass ihr Vorgesetzter zu Ende gesprochen hatte, ""und ich sage nichts anderes, als dass wir noch nicht so wirksam geheilt sind, wie wir uns selbst vormachen.","""I understand absolutely whereon you want out,"" answered say Esme nut tree with quiet voice when it certainly was, that its superior had spoken to end, ""and I nothing other when that we are not healed yet so effective, how we show ourselves.","""I fully understand the points you are making,"" Esme Nussbaum replied in a quiet voice, once she was certain her supervisor had finished speaking, ""and I am saying no more than that we are not healed as effectively as we delude ourselves we are.",-1.0088637566589236,,TRUE,FALSE,
"Как рассказал ""РГБ"" глава строительной компании ""Профи-инвест"" Анатолий Демьянко, сметные нормативы давно устарели, но другого механизма бизнесу пока не предложено.","As he told the head of the construction company RSL ""профи-инвест"" Anatoly Demyanko, estimated the regulations were obsolete long ago, but another mechanism business until it offered.","As the Head of Profi-Invest construction company, Anatoly Demyanko, told RGB, the estimate norms have been out of date for quite some time, but no other mechanism has been offered to businesses thus far.",-1.865108836162564,,TRUE,FALSE,
Eric on uskollinen kauluspaita-tyylilleen.,Eric is a staunch red shirt style.,Eric is faithful to his shirt style.,0.1094235746858033,,TRUE,FALSE,
"Návod na to, jak šifrovat soubory i komunikaci na internetu, nabízíme čtenářům HN a IHNED.cz v podobě elektronické knihy od Michala Altaira Valáška ve formátu PDF.","Instructions on how to encrypt the files and communications on the Internet, we offer readers HN and iHNed.cz in the form of electronic books from Michael's Valáška in PDF format.",We are offering readers of HN and IHNED.cz a guide explaining how to encrypt files and communication in the form of an e-book by Michal Altair Valáška in PDF format.,0.6802536276882301,,TRUE,FALSE,
"Její jedenáctiletá dcera Shani Bartová prozradila, že „je to trochu zvláštní“ chodit najednou znova do školy.","Her eleven-year-old daughter, Shani Bartová, said that ""it's a bit odd"" to go back to school.","Her 11-year-old daughter, Shani Bart, said it felt a ""little bit weird"" to suddenly be going back to school.",0.9598254605244118,,TRUE,FALSE,
Keskus on Microsoftin mukaan jo täysin varusteltu sekä kytketty verkkoon.,"The center is according to Microsoft, already fully equipped and connected to the network.","According to Microsoft, the centre is already fully equipped and connected to the network.",1.245240487025625,,TRUE,FALSE,
"Überlebender: Georgij Fanijew heute, mit einem Foto von sich im Krankenhaus nach der Belagerung auf dem Laptop","Survivor: Georgy Fanijew today, with a photo of himself in the hospital after the siege on the laptop","Survivor: Georgy Farniev pictured today, with a photograph of him in hospital follwoing the siege on his laptop",0.3948386011870167,,TRUE,FALSE,
"„Nebojím se jít zpátky do tělocvičny, ale nemyslím na sebe.","""I'm not afraid to go back to the gym, but do not think for themselves.",'I'm not scared to go back in the gym but I don't think about myself.,-0.1643050644853467,,TRUE,FALSE,
Aber er hat es gehört und er ist weggelaufen.,But it has one and it is weggelaufen.,"But he did hear, and he did run away.",-1.865108836162564,,TRUE,FALSE,
"Ilmoitukseen kuului kuva olohuoneesta, missä sika nojasi päätään sohvaan.","Announcement was picture of the elephant, where nojasi decide sohva pigs.",The particulars featured a picture of the living room of the house - which included a pig with its head resting on a settee.,-1.865108836162564,,TRUE,FALSE,
"Я встала и полезла обратно внутрь, чтобы найти свою маму.",,I got up and climbed back in to look for my mum.,-0.1701482581503784,,TRUE,FALSE,
"Поэтому полагаю, что россияне выступили в такой представительной компании на хорошем уровне.","Therefore, I believe that the Russians were in such a representative company at a good level.","This is why I suggest that the Russians, given the competition, performed at a good level.",-0.1701482581503784,,TRUE,FALSE,
Stewart (78) z Anstrutheru obvinění u soudu v Dundee popřel.,Stewart ( 78 ) from anstrutheru charges in court in Dundee denied .,"Stewart, 78, from Anstruther, denied the charge at Dundee Sheriff Court.",-1.0263933376540186,,TRUE,FALSE,
Soundtrack je směsicí reggae a rapu a melodie je optimistická.,Soundtrack je mixture reggae a rap a melody je optimistic.,The soundtrack is a mix of reggae and rap and the tunes are upbeat.,-1.865108836162564,,TRUE,FALSE,
"Все, что у нас есть на настоящий момент - это заявление от исполнительного директора Twitch Эммета Шира: ""Мы выбрали Amazon, потому что они верят в наше сообщество, они разделяют наши ценности и долгосрочные цели, и они хотят помочь нам достичь их быстрее.""","All that we have at the moment is a statement from Executive Director of it we as Emmett: ""We chose Amazon because they believe in our community, they share our values and long-term objectives, and they want to help us get there faster.""","All we have at the moment is this statement from Twitch CEO Emmett Shear: ""We chose Amazon because they believe in our community, they share our values and long-term vision, and they want to help us get there faster.""",0.3948386011870167,,TRUE,FALSE,
A Lafatu trápí teplota,And worries Lafatu temperature,And Lafata has a fever,-1.0263933376540186,,TRUE,FALSE,
Их же преследовали.,They also were persecuted.,They were being persecuted.,0.9598254605244118,,TRUE,FALSE,
Němečtí sousedé se v Chebu předvedli s rekonstruovanými letadly Jak 18T nebo tříčlennou formací dvouplošníků Bücker Jungmann.,Germany's neighbors in Chisinau demonstrated with reconstructed aircraft How 18t or three formations dvouplošníků Bücker Jungmann.,Cheb's neighbors from the German side of the border gave performances including some with reconstructed Jak 18T aircraft and three-member formations using Bücker Jungmann biplanes.,-1.865108836162564,,TRUE,FALSE,
Продолжил дешеветь и рубль и даже обновил исторический максимум к доллару.,Continued its cheaper and the ruble and even updated its historical maximum to the dollar.,The rouble continued its devaluation and even reached a new historic low against the dollar.,-1.0263933376540186,,TRUE,FALSE,
"Mustanmeren niemimaalla, joka liitettiin Venäjään viisi kuukautta sitten, sijaitsee Venäjän päälaivasto sekä kaupallisen merenkulun satama-alueita ja historiallisia rannikkokohteita.","The Black Sea peninsula, which was annexed to Russia in five months ago, is located in the päälaivasto of Russia, as well as commercial shipping port in the coastal areas and historical sites.",The Black Sea peninsula annexed five months ago is home to Russia's main naval fleet as well as commercial maritime facilities and historic coastal resorts.,-0.7234487301577102,,TRUE,FALSE,
Собчак и Виторган завтракают сигаретами со Жванецким в Одессе,Sobchak and Vitorgan cigarettes have Breakfast with Zhvanetsky in Odessa,Sobchak and Vitorgan have a breakfast of cigarettes with Zhvanetsky in Odessa,-0.1701482581503784,,TRUE,FALSE,
"Situace, kdy jsem v prvních třech zápasech nové sezony nechytal, je pro mě po patnácti letech kariéry nová.",The situation when I did not catch in the first three matches of a new season is for me after fifteen years of a career new.,The situation when I have not ended up anywhere as a goalkeeper in the first three games of the new season is new for my fifteen-year career.,-1.0088637566589236,,TRUE,FALSE,
Osa tähtistä on alkuillasta median tavattavissa Nelonen Expo -nimeä kantavilla tv-messuilla.,Kneadingtroughs is part of the early evening will be available for media Nelonen Expo - name in pregnant TV trade fair.,Some of the stars are available for media at a TV fair called Nelonen Expo.,-1.865108836162564,,TRUE,FALSE,
Clevere Wege zum Sparen bei Uni-Lehrbüchern,Clever ways to save in university teaching books,Smart ways to save on college textbooks,0.3948386011870167,,TRUE,FALSE,
Sunnuntaina noin 150 ihmistä kokoontui Cardiffin kaupungintalolle ns. vastahuippukokoukseen.,"On Sunday, about 150 people gathered for the town house, known only to the Cardiff summit.","And on Sunday in Cardiff, around 150 people came together at Cardiff's county hall for what was described as a counter-summit.",0.1152667683508349,,TRUE,FALSE,
"Die Terroristen ließen sie gehen, aber hielten in ihrer Grausamkeit ihre 30-jährige Mutter, die 10-jährige Schwester Kristina und ihren Bruder Makhar in der Schulsporthalle zurück.","The terrorists let go it, but held its 30-year-old mother, the 10-year-old sister in its cruelty Kristina and its brother Makhar in the school sports hall back.","Terrorists let her go but cruelly kept her 30 year old mother, ten year old older sister Kristina, and brother Makhar in the school gym.",0.1152667683508349,,TRUE,FALSE,
"Den kleinen Muskelkater kann er da leicht wegstecken, zumal ihm die Teilnahme am 8. Radeln auf den Großen Feldberg zugunsten des Vereins ""Hilfe für krebskranke Kinder"" (Frankfurt) auch persönlich eine wertvolle Erkenntnis gebracht habe.","The small muscles, it can easily wegstecken, as it was to participate in the 8th biking on the Great Feldberg in favor of the association ""help for children suffering from cancer"" (Frankfurt) personally a valuable insight.","He can put up with a little muscle stiffness, especially since his participation in the 8th Cycling Event on the Grosser Felberg was in aid of the 'Help for children with cancer' association, and gave him a valuable personal insight.",-1.865108836162564,,TRUE,FALSE,
"Ты всегда рассказываешь какую-то историю, а здесь отличное место для этого.","You're always talking about a story, and here is a great place to do this.",You're always telling a story and that's a great place to be.,0.4006817948520483,,TRUE,FALSE,
Lebensmittel werden knapp,Food is scarce,Food suppliers are scarce,0.1094235746858033,,TRUE,FALSE,
"Der Hausverkauf sorgte in den sozialen Medien für Interesse, als einige fragten, ob das Schwein im Kaufpreis enthalten sei.","The house was for sale of interest in social media, when some wondered whether the pig was included in the purchase price.","The house sale has sparked interest on social media, where some have enquired whether the pig is included in the sale.",0.6802536276882301,,TRUE,FALSE,
Tulipaloissa kuollut melkein kaksinkertainen määrä ihmisiä viime vuoteen verrattuna,Fires killed nearly double the number of people compared to last year,The number of the deaths occurred in the fires almost twice as big as last year,0.9656686541894436,,TRUE,FALSE,
Ke zdůvodnění lynčování jste potřebovali spolupráci bělošek.,"To justify of lynčování, you needed cooperation of běloška.",You needed the white woman to be complicit in the narrative to justify the lynching.,-1.865108836162564,,TRUE,FALSE,
Virginia hat mit 6 Prozent in allen drei Amtsbereichen die deutlich geringsten Unternehmenseinkommenssteuern (in allen drei gibt es feste Unternehmenssteuersätze).,"Virginia has the lowest corporate income taxes (in all three with 6 percent in all three areas, there are strong business rates).",Virginia has the lowest corporate income tax by far of the three jurisdictions (all of which have flat corporate rates) at 6 percent.,-0.1701482581503784,,TRUE,FALSE,
Об этом сообщил министр образования и науки самопровозглашенной республики Игорь Костенок.,The Minister of Education and Science of the self-proclaimed republic Igor Kosten.,"The Minister of Education and Science for the self-proclaimed republic, Igor Kostenok, reported this.",0.4006817948520483,,TRUE,FALSE,
"Der NATO-Chef beschuldigte allerdings Russland ""eines krassen Bruches"" der Vereinbarung.","However, Russia accused the NATO-Chef ""of a glaring fault line"" of the agreement.","Nevertheless, the head of NATO accused Russia of ""a flagrant breach"" of the agreement.",-0.17599145181541,,TRUE,FALSE,
"Vuosittaiset ennen veroja lasketut voitot nousivat 40 prosentilla vuoden takaiseen ollen näin 380 miljoonaa puntaa ja liikevaihto kasvoi 18 prosentilla 1,6 miljardiin puntaan.","The annual before tax profits rose 40% a year ago, the case of 380 million pounds and turnover increased by 18% to £1.6 billion.","Annual pre-tax profits rose 40 per cent year on year to £380m, on revenues up 18 per cent to £1.6bn.",-0.1701482581503784,,TRUE,FALSE,
Koko alkuvuoden eli tammi-heinäkuun aikana tavaratalojen ja hypermarkettien liikevaihto on supistunut yli kaksi prosenttia.,"During the whole at the beginning of the year, i.e. in January - July of the turnover of the supermarkets and hypermarketti has shrunk by more than 2%.","During the first part of the year, i.e. January through July, the turnover of the department stores and hypermarkets has diminished over two percent.",-0.7234487301577102,,TRUE,FALSE,
"Poznamenal si: „Chci, aby se všechno dělo spíš dřív než později.“","Noted: ""I want to make everything happened rather sooner than later.""","""I want everything to happen sooner rather than later,"" he noted.",0.6802536276882301,,TRUE,FALSE,
Sata siirtolaista löytyi hiilivaunusta Makedoniassa,One hundred emigrants hiilivaunusta were found in Macedonia,One hundred immigrants found in a coal wagon in Macedonia,-1.865108836162564,,TRUE,FALSE,
"Přestože někteří kuřáci dostanou rakovinu plic, ne všichni pacienti s rakovinou plic kouřili.","Though some smokers get lung cancer, not all patients with lung cancer, smoking.","Though some smokers get lung cancer, for example, not all lung cancer sufferers have smoked.",0.1094235746858033,,TRUE,FALSE,
Ei ollut mitään ’meitä’ eikä ’muita’.,There was no ' us ' and ' the other '.,"There was no ""we"" and there were no ""others.""",0.6802536276882301,,TRUE,FALSE,
"Kaupunginhallitus on yksimielinen siitä, että säästöjä on saatava aikaan.",City board has agreed unanimously that the savings have to be made.,The city board is unanimous that savings must be achieved.,0.9598254605244118,,TRUE,FALSE,
"Sie wurde von dem russischen Starfotografen Dimitri Beliakow fotografiert und berühmt, als sie nur in ihrer Unterwäsche versuchte, in die zerschossene Schulsporthalle zurückzuklettern, nachdem eine Mine explodiert war.",She was photographed by the Russian star photographer Dimitri Beliakow and famous when she was only in her underwear tried in the zerschossene school sports hall zurückzuklettern after a mine exploded.,She was famously snapped by top Russian photographer Dmitry Beliakov wearing only her underwear as tried to climb back inside the blitzed school gym after a mine exploded.,-1.865108836162564,,TRUE,FALSE,
"Die Welt hielt 2004 den Atem an, als das Baby Aljona in den Armen eines russischen Polizisten aus der Belagerung von Beslan getragen wurde.","The World 2004 held the breath, as the baby eat in the arms of a Russian policeman from the siege of Beslan was carried.",The world gasped in 2004 when baby Alyona was carried out of the Beslan siege cradled in the arms of a Russian policeman.,0.1094235746858033,,TRUE,FALSE,
Эндрю Лоусон не был старым.,Andrew Lawson was not old.,Andrew Lawson was not old.,1.524812319861807,,TRUE,FALSE,
Ja heitä on paljon.,And there are many of them.,And there are lots of them.,1.524812319861807,,TRUE,FALSE,
"Tisíce izraelských dětí z oblastí v blízkosti pásma Gazy se v pondělí vrátily do školy poté, co strávily léto v protibombových krytech, zatímco během padesátidenní války mezi Izraelem a Hamásem na jejich domovy útočily rakety a minomety. Školy v Gaze však zůstávají zavřené, zatímco se území vzpamatovává z bojů.","Thousands of Israeli children from areas near the Gaza Strip has returned to school on Monday after having spent the summer in bomb shelters, while padesátidenní during the war between Israel and Hamas in their homes, rockets and mortars. Schools in Gaza, however, remains closed while the territory is still recovering from the fighting.","Thousands of Israeli children in areas near the Gaza Strip went back to school Monday after spending the summer in bomb shelters as rockets and mortars rained on their communities during the 50-day Israel-Hamas war, while schools in Gaza remained shuttered as the territory recovered from the fighting.",-0.7234487301577102,,TRUE,FALSE,
"Нельзя сказать, нет.",You cannot say no.,"Your feet specifically, no.",-0.7292919238227419,,TRUE,FALSE,
"Tři kilometry do cíle budou bolet, ale je potřeba opravdu máknout.","Three miles into the objectives will be hurt, but it is necessary to really work.","The three kilometers to the finish are going to hurt, but it is really necessary to make it.",-1.0263933376540186,,TRUE,FALSE,
"Владельцы кафе кавказской и среднеазиатской кухни подчеркивают, что продукты из бывших советских республик ароматнее европейских",The owners of Cafe Caucasian and Central Asian cuisine emphasizes that products from the former Soviet republics more European,Owners of cafés that offer Caucasian and Central Asian cuisine emphasize that food products from the former Soviet republics are more aromatic than European ones,-0.4555632846515918,,TRUE,FALSE,
"Ilmeisesti ennen minun tuloani on joskus ollut tällainen ajatus, joka on keskusteltu aikanaan terveydenhuollon kanssa.","Apparently, before I came here, I had this idea that has been discussed at the time with health care.","Apparently, before I started here, there has been a such idea, which at that time has been discussed with the healthcare department.",-0.1701482581503784,,TRUE,FALSE,
"Carnival, Royal Caribbean Cruises и Norwegian Cruise вместе составляют 82 процента круизного пассажиропотока в Северной Америке, согласно регистрационным документам при первом публичном размещении акций Prestige Cruises.","Carnival, Royal Caribbean Cruises and Norwegian Cruise together make up 82 percent of cruise passengers in North America, according to registration documents at the first public offering of shares Prestige Cruises.","Carnival, Royal Caribbean Cruises and Norwegian Cruise together account for 82 percent of the North American cruise passenger berth capacity, according to Prestige Cruises' initial public offering registration document.",0.9656686541894436,,TRUE,FALSE,
Nejvyšší cenu nabídli zájemci o stanoviště v ulici Na Perštýně.,The highest price offered candidates for the post in Na Perslyne.,The highest price has been offered by those interested in taxi stands on Na Perštýně Street.,-0.1701482581503784,,TRUE,FALSE,
"Zákon vytvořil 350 milionovou finanční rezervu, kterou hradí pojišťovny a která je určena lidem diagnostikovaným po červenci 2012, kteří mohou prokázat, že byli vystaveni azbestu, ale nemají koho žalovat.","The law has created a 350 ] the financial envelope are covered by insurance companies , which is intended to people diagnostikovaným after July 2012 , who can prove that they were subjected to asbestos , but do not have anyone to court .","The law has created a £350m pot of money, funded by the insurance industry, for those diagnosed after July 2012 who can prove exposure but have no one to sue.",-1.865108836162564,,TRUE,FALSE,
"„Odjela jsem dvě minuty předtím, než teroristé vtrhly na dvůr, takže můj chlapeček tam tři dny zůstal sám,“ vzpomínala.","“ went , I have two minutes before the terrorists stormed the Court , so my baby boy there three days left alone , ” mentioned .","'I left two minutes before the terrorists rushed into the yard, so my little boy was left there alone for three days of horror,' she recalled.",-0.7234487301577102,,TRUE,FALSE,
"Menneisyys on olemassa, jotta voimme unohtaa sen.","The past is there, so we can forget about it.",The past exists in order that we forget it.,0.1152667683508349,,TRUE,FALSE,
"Järjestöt ovat luvanneet työuraratkaisun syksyyn mennessä, mutta tuoreimman arvion mukaan se syntyisi tämän viikon aikana.","Organisations have agreed to a settlement by the autumn, but according to the most recent estimate, it would be this week.","The organisations have promised a career solution by the end of autumn, but according to the latest estimation it would be achieved this week.",0.1152667683508349,,TRUE,FALSE,
Путин заявил о полной неэффективности фонда развития Дальнего Востока,Putin declared full inefficiency of fund of development of the Far East,Putin made a statement about the total ineffectiveness of the development fund for the Russian Far East,0.3948386011870167,,TRUE,FALSE,
Její tělo je ovšem zachovalé - drží svůj tvar.,"Her body, however, is preserved - holds its shape.","Of course, its body has been preserved and retains its shape.",0.6802536276882301,,TRUE,FALSE,
"В ""Теремке"" ""санкционные продукты"" вообще занимали не более 4%.","In ""the Mansion"" and ""sanctions products"" generally took no more than 4%.","At Teremok, “sanctioned goods” generally accounted for no more than 4%.",-0.1701482581503784,,TRUE,FALSE,
Вы лесбиянка?,Are you a lesbian?,Are you a lesbian?,1.524812319861807,,TRUE,FALSE,
"Что война, которая сейчас терзает Украину, в которой такие же дети, как они, погибают, теперь прекратится.","That war which torments now Ukraine in which the same children as they, perish, will stop now.",That the war now scarring Ukraine - in which children like them are dying - will now stop.,0.1152667683508349,,TRUE,FALSE,
"Am zweiten Tag standen für die Radfahrer die Stationen Birstein, Wächtersbach und Bad Orb - inklusive eines Konzerts mit den Trenkwaldern - auf dem Programm.","On the second day were for cyclists stations Birstein, Wächtersbach and Bad Orb - including a concert with the Trenkwaldern - on the agenda.","On the second day of the tour program, the riders would call at the stopping points of Birstein; Wächtersbach; and Bad Orb - including a concert with the Trenkwaldern.",-0.1701482581503784,,TRUE,FALSE,
"Snažím se tlesknout si s každým, kdo nabídne ruku, a radím to i Kátě, protože deset tlesknutí s fanoušky je jako půlka energetické tyčinky.","I try to clap with everyone, who will offer a hand, and I also Káťa advise it because ten tlesknutí with fans, is such half of an energy bar.","I try to high-five with everyone who puts out his hand, and I advise Káťou to do the same, because ten high-fives with fans is like half an energy bar.",-1.865108836162564,,TRUE,FALSE,
"Perry esti Lehmbergin viran rahoituksen, kun tämä kieltäytyi eroamasta, mikä johti suuren valamiehistön kokoontumiseen Austinissa tässä kuussa Perryn ollessa syytettynä. Perry on vuoden 2016 presidentinvaalien mahdollinen ehdokas.","Perry Lehmbergin blocked funding for the post, when it refused to resign, which led to a grand jury in Austin this month to arrange a meeting with Perry accused. Perry is a potential candidate for the presidential election in 2016.","Perry vetoed funds to her office when she refused to resign, which led to a grand jury in Austin this month indicting Perry - who is a potential 2016 presidential candidate.",0.3948386011870167,,TRUE,FALSE,
"Svádět expozici smrtelného azbestu na jednu firmu nebo místo výkonu práce - obvykle desítky let poté, co se tak stalo - se pro pacienty s mezoteliomem usilující o kompenzaci ukázalo být obrovským problémem.",Seduce exposure to deadly asbestos on one company or place of work - typically decades after it happened - for patients with mesothelioma seeking compensation turned out to be a huge problem.,"In fact, pinning lethal asbestos exposure on one company or place of work - usually decades after the fact - has proved a huge problem for mesothelioma sufferers seeking compensation.",0.1152667683508349,,TRUE,FALSE,
"По его словам, 11% школьников выехали в другие регионы Украины, 20% - в Россию.","He said that 11% of school children left in other regions of Ukraine, 20% - in Russia.","According to him, 11% of school children left for other regions in Ukraine, and 20% for Russia.",-0.1701482581503784,,TRUE,FALSE,
Kaupunginhallitus palautti tehdyt esitykset vielä johtoryhmän valmisteltaviksi.,Yet the local government returned the proposals put forward in preparation for the management team.,"Furthermore, the city board returned the presented proposals to be prepared by the board of directors.",0.1094235746858033,,TRUE,FALSE,
Die Hauptstoßrichtung des Warnstreiks sei der Güterverkehr.,The main thrust of the warning strike was the freight.,The brunt of the strike will affect the transport of goods.,-0.1701482581503784,,TRUE,FALSE,
Nitrometaania käytetään esimerkiksi kiihdytysajossa.,"For example, biomethane nitro kiihdytys are used in",Nitromethane is being used for example in drag racing.,-1.0088637566589236,,TRUE,FALSE,
Gallupeissa itsenäisyyden kannattajat ovat olleet tappiolla.,According to many independence supporters have been at a loss.,"In the polls, the independence supporters have been on the losing side.",0.1152667683508349,,TRUE,FALSE,
Proč je to takový rozdíl?,Why is it such a difference?,Why such a difference?,1.245240487025625,,TRUE,FALSE,
O rodině budu přemýšlet později.,"On a family, I will think later.",I will think about a family later.,0.3948386011870167,,TRUE,FALSE,
"Он не ищет мести, например, он не зациклен на этом прошлом кошмаре.","He does not seek revenge, for example, he is not fixated on this last nightmare.","He is not seeking revenge for example, he is not preoccupied with this past horror.",0.9598254605244118,,TRUE,FALSE,
"Neomluvená absence v zápočtovém listu nemá stejné důsledky jako § 53 (např. nemožnost pobírat hmotné zabezpečení v nezaměstnanosti), přesto je tím ztížená možnost hledání nového zaměstnání.","Neomluvená absence in credit worksheet does not have the same consequences as § 53 (e.g. inability to receive material security in unemployment), however, is the increased difficulty of finding a new job.","An inexcusable absence in your records will not have the same consequences as Section 53 (such as the inability to collect unemployment benefits), even though it hinders your ability to seek new employment.",-1.865108836162564,,TRUE,FALSE,
"Stephen Fairclough sledoval během víkendu situaci a mluvil s protestujícími, kteří přicestovali z Bridgend do Belgie.","Stephen Fairclough watching the situation over the weekend and spoke with the protesters, who traveled from Bridgend to Belgium.",Stephen Fairclough has been following developments for us over the weekend and has spoken to protesters who have travelled from Bridgend to Belgium.,0.9656686541894436,,TRUE,FALSE,
Tilaisuus alkaa Sebastian Rejmanin juontamalla Nelonen Median eri kanavien syksyn ohjelmistojen esittelyllä.,The opportunity to start by Sebastian Rejman juontama Nelonen media presentation software in the autumn of different channels.,"The event will start with the presentation of the programming of different channels of Nelonen Media, hosted by Sebastian Rejman.",-1.0088637566589236,,TRUE,FALSE,
"Итак, процесс репетиций был жестким, и я читал эту пьесу месяцы и месяцы до того, как мы ее поставили.","So the rehearsal process was tough, and I read this play months and months before we put her in.",So the rehearsal process was brutal and I was reading that play for months and months before we did it.,0.1152667683508349,,TRUE,FALSE,
Päätöstä edeltäneenä kesänä Hongkongissa järjestettiin joitain alueen suurimmista ja eniten huomiota herättäneistä protesteista vuosiin.,The decision preceding the summer in Hong Kong was held in some of the region's largest and most attention-about the protests in years.,The ruling comes after a summer that has featured some of the largest and most high-profile protests in Hong Kong in years.,0.4006817948520483,,TRUE,FALSE,
"Будучи врачом, Эбботт знал, что боль идет из плевры, оболочки вокруг легких.","As a doctor, Abbott knew the pain comes from the pleura, shell around the lungs.","Being a doctor, Abbott knew that the pain was coming from the pleura, the lining around his lungs.",0.9598254605244118,,TRUE,FALSE,
"Leider kamen nicht so viele Teilnehmer, wie der Veranstalter sich erhofft hatte,was vermutlich an den schlechten Wetterprognosen und am morgendlichen Regen lag.","Unfortunately, there were not so many participants, as the organizer had hoped, which was probably due to the bad weather and the morning rain.","Unfortunately, there were not as many participants as the organizer had hoped for, which is presumably because of the bad weather forecast and the morning rain.",0.9598254605244118,,TRUE,FALSE,
"Jeho otec Vladimir, který ho venku chytil, řekl: „Damir mi řekl, že jeho matka je mrtvá.“","His father, Vladimir, who grabbed him outside, he said, ""Damir told me that his mother is dead.""","His dad Vladimir, who scooped up his son outside, said: 'Damir told me his mother had died.",0.6802536276882301,,TRUE,FALSE,
"Pro řetězec pracovala devět let, od roku 1978 do roku1987, kdy dohlížela ve dvou prodejnách na sekci s oblečením - jednou z míst byla vlajková loď společnosti, obchod na Oxford Street.","She worked for a string of nine years, from 1978 to roku1987, ever vigilant in two stores on the section with clothes - one of the places was the flagship company, the shop on Oxford Street.","She worked for the chain for nine years, from 1978 to 1987, supervising clothes sections at two sites - one of which was the flagship store on Oxford Street.",-1.0088637566589236,,TRUE,FALSE,
"В ближайшее время в ""Стардогсе"" будет плановое увеличение цен на 8%.","In the near future in ""Stardogse"" will be planned price increases by 8%.","In the near future, Stardogs will go ahead with a planned 8% increase in its prices.",0.3948386011870167,,TRUE,FALSE,
"Те же сбитые с толку мужчины, даже более чувствительные и капризные после ТОГО, ЧТО ПРОИЗОШЛО, ЕСЛИ ВООБЩЕ ПРОИЗОШЛО, чем их предки, контрабандисты и разрушители, бродили в ярости из паба в паб, готовые поднять руку на любую женщину, посмевшую отказать им или поддразнить их.","The same confusing men, even more sensitive and capricious after THAT A, IF A ICIE than their ancestors, the smugglers and peace, roamed the fury from pub to pub, ready to raise a hand on any woman, posmevshuu refuse them or upset them.","The same befuddled men, even more thin-skinned and peevish in the aftermath of WHAT HAPPENED than their smuggler and wrecker ancestors had been, roamed angrily from pub to pub, ready to raise a hand to any woman who dared to refuse or twit them.",-1.865108836162564,,TRUE,FALSE,
"Na vysočinský ""velký"" fotbal podobný požadavek od politiků zatím nepřišel.","Vysočinský "" great "" football similar a requirement from politicians yet did not come.",No similar request has yet been addressed to major-league soccer in Vysočiny by politicians.,-1.865108836162564,,TRUE,FALSE,
Deine Füße sind zu groß.,Your feet are too large.,Your feet's too big.,1.524812319861807,,TRUE,FALSE,
Přesto je konkrétní a zcela přijatelný.,"Nevertheless, it is concrete and quite acceptable.","Nonetheless, it is specific and entirely acceptable.",1.245240487025625,,TRUE,FALSE,
"Китайские компании, среди которых крупнейший в Китае девелопер коммерческой недвижимости Dalian Wanda Group и интернет-гиганты Tencent Holdings (соцсети, мессенджер и др.) и Baidu (крупнейший китайский поисковик), создают компанию, которая будет конкурировать на рынке онлайн-торговли с Alibaba.","Chinese companies, including China's largest developer of commercial properties, Dalian Wanda Group, and Internet giants Tencent Holdings (the social network, messenger, etc.) and Baidu (the largest Chinese search engine), creating a company that could compete on the online trading market with Alibaba.","Chinese companies, including the largest developer of commercial real estate in China, Dalian Wanda Group, and the Internet giants, Tencent Holdings (social media, messenger, and others) and Baidu (the largest Chinese search engine), are creating a company that will compete in the online retail market with Alibaba.",0.6802536276882301,,TRUE,FALSE,
Nyt molemmat nauttivat työn hedelmistä.,Now both are enjoying the fruits of the work.,Now both of them are enjoying the fruits of their labour.,0.9656686541894436,,TRUE,FALSE,
Ein besonders schöner Anblick werden die 25 Festdamen mit ihren Dirndln sein.,A particularly beautiful sight the 25 fixed ladies with their Dirndln will be.,A particularly attractive sight will be the 25 festival women in their Dirndls.,-0.1701482581503784,,TRUE,FALSE,
"""Дервиш"" доставил в СССР военную помощь от США и Великобритании.","""Dervish"" delivered in the USSR military assistance from the United States and Britain.",The Dervish delivered military aid from the USA and Great Britain to the USSR.,0.4006817948520483,,TRUE,FALSE,
